geographic_level,code,location,timestamp,action,startdate_action,enddate_action,details_action,Zielgruppe,source
Bundesland,9,Bayern,2020-03-17,Betretungsverbot für Hochschulen,2020-03-18,2020-04-19,"Personen, die sich in einem Gebiet aufgehalten haben, das vom Ro- bert Koch-Institut (RKI) im Zeitpunkt des Aufenthalts als Risikogebiet ausgewiesen war oder innerhalb von 14 Tagen danach als solches ausgewiesen worden ist, dürfen innerhalb eines Zeitraums von 14 Ta- gen nach Verlassen dieses Gebiets Hochschulen in Bayern nicht be- treten",Reiserückkehrer aus Risikogebieten,Bayerisches Staatsministerium für Gesundheit und Pflege https://www.stmgp.bayern.de/wp-content/uploads/2020/03/20200317_allgemeinverfuegung_hochschulen.pdf
Bundesland,9,Bayern,2020-03-17,Meldepflicht für Beatmungsgeräte,2020-03-18,2020-04-20,"Die Leitungen der Praxen niedergelassener Ärzte in Bayern sind verpflichtet, unverzüglich die Gesamtzahl der in der jeweiligen Praxis vorhandenen Beatmungsgeräte an das Staatsministerium für Gesundheit und Pflege unter der E-Mail-Adresse beatmungsgeraete@stmgp.bayern.de zu übermitteln",Meldevorgang,Bayerisches Staatsministerium für Gesundheit und Pflege https://www.stmgp.bayern.de/wp-content/uploads/2020/03/20200317_stmgp_allgemeinverfuegung_beatmungsgeraete_korrektur.pdf
Bundesland,9,Bayern,2020-03-17,"Betretungsverbote: Werkstätten für behinderte Menschen, Förderstätten sowie Berufsbildungs- und Berufsförderungswerke",2020-03-17,2020-04-19,In allen Werkstätten für behinderte Menschen sowie Förderstätten findet keine reguläre Beschäftigung und Betreuung für Menschen mit Behinderung statt.,Schutz Gefährdeter,Bayerisches Staatsministerium für Gesundheit und Pflege https://www.stmgp.bayern.de/wp-content/uploads/2020/03/20200317_allgemeinverfuegung_stmgp_wfbm.pdf
Bundesland,9,Bayern,2020-03-17,Meldepflicht für Laboruntersuchungen,2020-03-18,2020-04-19,Verpflichtung der Laborbetreiber zur Meldung der Anzahl der untersuchten Abstriche und Proben sowie der Anzahl der positiven und negativen Befunde an das Landesamt für Gesundheit und Lebensmittelsicherheit,Meldevorgang,Bayerisches Staatsministerium für Gesundheit und Pflege https://www.stmgp.bayern.de/wp-content/uploads/2020/03/20200317_allgemeinverfuegung_stmgp_laborbetreiber.pdf
Bundesland,9,Bayern,2020-03-17,Änderung: Veranstaltungsverbote und Betriebsuntersagungen,2020-03-18,,Spezifizierung und Ausweitung der Bereiche,Versammlungen,Bayerisches Staatsministerium für Gesundheit und Pflege https://www.stmgp.bayern.de/wp-content/uploads/2020/03/20200317_aenderung_allgemeinverfuegung_veranstaltungsverbot_betriebsuntersagungen-1.pdf
Bundesland,9,Bayern,2020-03-16,Veranstaltungsverbot,2020-03-16,,Veranstaltungen und Versammlungen werden landesweit untersagt. (Ausnahme: private Feiern in privaten Wohnräumen),Versammlungen,Bayerisches Staatsministerium für Gesundheit und Pflege https://www.stmgp.bayern.de/wp-content/uploads/2020/03/20200316_allgemeinverfuegung_veranstaltungsverbot_betriebsuntersagungen_stand_1252_uhr.pdf
Bundesland,9,Bayern,2020-03-16,Betriebsuntersagung,2020-03-16,,"Der Betrieb sämtlicher Einrichtungen, die nicht notwendigen Verrichtungen des täglichen Lebens dienen, sondern der Freizeitgestaltung, wird untersagt. ",Freizeitunterhaltung,Bayerisches Staatsministerium für Gesundheit und Pflege https://www.stmgp.bayern.de/wp-content/uploads/2020/03/20200316_allgemeinverfuegung_veranstaltungsverbot_betriebsuntersagungen_stand_1252_uhr.pdf
Bundesland,9,Bayern,2020-03-16,Einschränkung Gastronomiebetrieb,2020-03-16,,"Untersagt werden Gastronomiebetriebe jeder Art. Ausgenommen hiervon sind in der Zeit von 6.00 bis 15.00 Uhr Betriebskantinen sowie Speiselokale und Betriebe, in denen überwiegend Speisen zum Verzehr an Ort und Stelle abgegeben werden. Ausgenommen ist zudem die Abgabe von Speisen zum Mitnehmen bzw. die Auslieferung; dies ist jederzeit zulässig.",Freizeitgestaltung,Bayerisches Staatsministerium für Gesundheit und Pflege https://www.stmgp.bayern.de/wp-content/uploads/2020/03/20200316_allgemeinverfuegung_veranstaltungsverbot_betriebsuntersagungen_stand_1252_uhr.pdf
Bundesland,9,Bayern,2020-03-16,Verbot Ladenöffnung für den Einzelhandel,2020-03-16,,"Untersagt wird die Öffnung von Ladengeschäften des Einzelhandels jeder Art. Hiervon ausgenommen sind der Lebensmittelhandel, Getränkemärkte, Ban- ken, Apotheken, Drogerien, Sanitätshäuser, Optiker, Hörgeräteakustiker, Fili- alen der Deutschen Post AG, Tierbedarf, Bau- und Gartenmärkte, Tankstel- len, Reinigungen und der Online-Handel.",Freizeitgestaltung,Bayerisches Staatsministerium für Gesundheit und Pflege https://www.stmgp.bayern.de/wp-content/uploads/2020/03/20200316_allgemeinverfuegung_veranstaltungsverbot_betriebsuntersagungen_stand_1252_uhr.pdf
Bundesland,9,Bayern,2020-03-13,"Maßnahmen, Schulen, Kitas",2020-03-16,2020-04-19,"An allen Schulen Bayerns entfallen der Unterricht und die sonstigen Schulveranstaltungen. An allen schulvorbereitenden Einrichtungen, Kindertageseinrichtungen, Kindertagespflegestellen und Heilpädagogischen Tagesstätten entfallen die regulären Betreuungsangebote. Lehr- und Studienbetrieb sind eingestellt.",Kinder,Bayerisches Staatsministerium für Gesundheit und Pflege https://www.stmgp.bayern.de/wp-content/uploads/2020/03/20200313_allgemeinverfuegung_stmgp_schulen_kitas.pdf
